[16:10:20] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:20] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=17 | OBJETS=['person', 'person', 'person', 'person', 'backpack']
[16:10:20] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=16 | OBJETS=['person', 'person', 'person', 'person']
[16:10:20] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:21] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=16 | OBJETS=['person', 'person', 'person', 'person']
[16:10:21] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=16 | OBJETS=['person', 'person', 'person', 'person']
[16:10:21] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:21] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:21] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:21] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:21] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:22] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:22] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:22] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:23] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:23] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:23] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:23] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:24] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:24] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:24] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:24] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:25] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:25] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:25] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:25] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:26] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:26] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:26] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:26] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:26] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:27] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:27] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['person', 'person']
[16:10:27] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:27] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
