[17:33:05] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'person']
[17:33:05] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:05] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:06] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:06] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:06] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:06] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:06] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:06] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'person', 'truck']
[17:33:07] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['truck', 'truck', 'person']
[17:33:07] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:33:07] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:33:07] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:07] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=8 | OBJETS=['truck', 'truck']
[17:33:08] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:08] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:08] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:10] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:11] ZONE=CAM_piste_aterisage | NIVEAU=MOYEN | SCORE=4 | OBJETS=['truck']
[17:33:11] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:11] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:11] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:12] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
